Probe,r11_frec,r11_ener,r12_frec,r12_ener,r13_frec,r13_ener,r22_frec,r22_ener,r23_frec,r23_ener,r33_frec,r33_ener
0,0.7333,4.5316e+06,0.7333,6.7809e+06,0.0800,1.5308e+05,0.7333,1.0146e+07,0.7333,5.8628e+03,0.0133,1.0817e+06
1,0.7333,4.3248e+06,0.7333,6.6291e+06,0.0800,1.6131e+05,0.7333,1.0161e+07,0.7333,6.0978e+03,0.0133,1.0807e+06
2,0.7333,4.5871e+06,0.7333,6.8321e+06,0.0800,1.5804e+05,0.7333,1.0176e+07,0.7333,6.3963e+03,0.0133,1.0797e+06
3,0.0800,1.8766e+06,0.7333,6.1893e+05,0.0800,1.4929e+06,0.7333,1.0668e+07,0.7333,7.5638e+04,0.0800,1.1878e+06
4,0.0800,2.1646e+06,0.7333,6.5591e+05,0.0800,1.6370e+06,0.7333,1.1648e+07,0.7333,6.6132e+04,0.0800,1.2380e+06
5,0.0800,2.4422e+06,0.7333,6.8818e+05,0.0800,1.7695e+06,0.7333,1.2613e+07,0.7333,5.8994e+04,0.0800,1.2821e+06
6,0.0800,3.0573e+05,0.7333,7.5333e+05,0.0800,2.3381e+05,0.7333,4.1271e+06,0.7333,2.4851e+05,0.0800,1.7881e+05
7,0.0800,3.6886e+05,0.7333,9.5864e+05,0.0800,3.6251e+05,0.7333,4.8576e+06,0.7333,4.0026e+05,0.0800,3.5627e+05
8,0.0800,3.3498e+05,0.7333,1.3220e+06,0.0800,4.3637e+05,0.7333,5.7223e+06,0.7333,5.3170e+05,0.0800,5.6846e+05
9,0.0967,2.9436e+05,0.7333,3.0609e+04,0.0800,3.0386e+05,0.7333,4.9676e+06,0.7233,1.5417e+04,0.0800,3.5267e+05
10,0.0967,5.2716e+05,0.7333,8.7313e+04,0.0800,2.9971e+05,0.7333,6.1295e+06,0.7233,2.0012e+04,0.0800,2.5171e+05
11,0.0967,1.1154e+06,0.7333,5.6329e+04,0.0967,3.7595e+05,0.7333,7.1961e+06,0.7333,4.1559e+04,0.0800,1.7532e+05
12,0.0800,1.4269e+06,0.7333,4.7291e+04,0.0800,1.0232e+06,0.7333,6.5486e+06,0.7333,2.1732e+04,0.0800,7.3365e+05
13,0.0800,1.2762e+06,0.7333,2.5946e+04,0.0800,9.2572e+05,0.7333,6.0922e+06,0.7333,2.7977e+04,0.0800,6.7150e+05
14,0.0800,1.3253e+06,0.7333,3.5533e+04,0.0800,8.8144e+05,0.7333,6.2205e+06,0.7333,2.8356e+04,0.0800,5.8622e+05
15,0.0067,1.6082e+05,0.4100,2.2611e+04,0.1133,7.7954e+04,0.7333,1.0068e+06,0.7333,1.7236e+04,0.0700,2.7789e+05
16,0.0200,3.2953e+05,0.0200,2.4877e+04,0.0200,8.6581e+04,0.7333,5.6435e+05,0.3667,2.1359e+04,0.1133,2.3047e+05
17,0.0200,2.9961e+05,0.5066,2.6409e+04,0.0200,6.1906e+04,0.7333,2.3958e+05,0.5033,1.7198e+04,0.1133,1.3857e+05
18,0.0767,2.8341e+05,0.4067,2.4159e+04,0.0800,7.1193e+04,0.5833,8.8845e+04,0.3833,2.2713e+04,0.3267,3.9638e+04
19,0.0767,3.4802e+05,0.5866,2.3925e+04,0.0800,5.8607e+04,0.5833,1.5150e+05,0.3833,1.7269e+04,0.3267,2.5029e+04
20,0.0800,5.2632e+05,0.4367,3.0009e+04,0.0800,6.2226e+04,0.6533,1.8776e+05,0.6400,1.4419e+04,0.2233,3.4594e+04
